# timestamp ; field [FU] ; field [Hz] ; base frequency 1H [Hz]
2018-03-03T21:14:26.757+0100;-2542.89;-16565.38;600550000.00
2018-03-04T21:15:26.761+0100;-2542.90;-16565.44;600550000.00
2018-03-12T08:51:51.102+0100;-2532.64;-16498.61;600550000.00
2018-03-13T08:52:46.141+0100;-2527.67;-16466.24;600550000.00
2018-03-13T20:53:46.017+0100;-2533.43;-16503.78;600550000.00
2018-03-14T08:53:46.128+0100;-2530.51;-16484.74;600550000.00
2018-03-14T20:54:46.018+0100;-2536.89;-16526.29;600550000.00
2018-03-15T20:55:46.015+0100;-2533.69;-16505.46;600550000.00
2018-03-16T20:56:46.013+0100;-2535.26;-16515.67;600550000.00
2018-03-17T20:57:46.041+0100;-2535.76;-16518.93;600550000.00
2018-03-18T20:58:46.011+0100;-2535.00;-16513.99;600550000.00
2018-03-21T12:51:42.213+0100;-1023.91;-6670.19;600550000.00
2018-03-22T09:42:13.894+0100;-460.98;-3003.01;600550000.00
2018-03-22T21:42:50.270+0100;-2540.91;-16552.54;600550000.00
2018-03-23T21:43:50.273+0100;-2541.67;-16557.43;600550000.00
2018-03-24T09:43:50.388+0100;-2544.55;-16576.22;600550000.00
2018-03-25T10:44:50.383+0200;-2543.06;-16566.53;600550000.00
2018-03-26T10:45:50.373+0200;-2531.92;-16493.94;600550000.00
2018-03-26T22:46:50.272+0200;-2476.85;-16135.21;600550000.00
2018-04-03T09:47:36.617+0200;-2505.45;-16321.51;600550000.00
2018-04-03T21:48:12.599+0200;-2541.15;-16554.09;600550000.00
2018-04-04T21:49:12.611+0200;-2540.44;-16549.46;600550000.00
2018-04-05T09:50:12.601+0200;-2537.07;-16527.51;600550000.00
2018-04-05T21:51:12.618+0200;-2540.36;-16548.94;600550000.00
2018-04-06T21:53:12.602+0200;-2540.74;-16551.39;600550000.00
2018-04-07T21:55:12.647+0200;-2541.36;-16555.42;600550000.00
2018-04-08T21:57:12.610+0200;-2541.85;-16558.61;600550000.00
2018-04-09T21:59:12.609+0200;-2541.85;-16558.63;600550000.00
2018-04-10T22:01:12.612+0200;-2540.93;-16552.63;600550000.00
2018-04-11T10:02:12.661+0200;-2543.33;-16568.30;600550000.00
2018-04-12T09:58:24.405+0200;-2493.54;-16243.89;600550000.00
2018-04-12T21:59:01.299+0200;-2103.83;-13705.21;600550000.00
2018-04-13T09:59:01.414+0200;-1727.50;-11253.60;600550000.00
2018-04-13T22:00:01.299+0200;-2511.93;-16363.73;600550000.00
2018-04-14T10:00:01.388+0200;-2220.91;-14467.90;600550000.00
2018-04-14T22:01:01.297+0200;-1926.20;-12548.02;600550000.00
2018-04-15T10:01:01.382+0200;-1625.54;-10589.42;600550000.00
2018-04-15T22:02:01.297+0200;-1324.36;-8627.40;600550000.00
2018-04-30T08:32:50.986+0200;-2546.20;-16586.98;600550000.00
2018-05-01T08:33:24.451+0200;-2544.24;-16574.19;600550000.00
2018-05-02T08:34:24.440+0200;-2544.74;-16577.42;600550000.00
2018-05-04T07:55:08.054+0200;-2527.53;-16465.35;600550000.00
2018-05-04T19:55:40.800+0200;-2547.28;-16593.99;600550000.00
2018-05-05T19:56:40.798+0200;-2547.35;-16594.45;600550000.00
2018-05-06T19:57:40.807+0200;-2548.07;-16599.12;600550000.00
2018-05-07T19:58:40.801+0200;-2557.87;-16663.00;600550000.00
2018-05-08T19:59:40.800+0200;-2558.67;-16668.21;600550000.00
2018-05-09T20:00:40.813+0200;-2553.59;-16635.11;600550000.00
2018-05-10T20:01:40.803+0200;-2552.09;-16625.31;600550000.00
2018-05-11T20:02:40.801+0200;-2557.71;-16661.92;600550000.00
2018-05-12T20:03:40.819+0200;-2558.24;-16665.41;600550000.00
2018-05-13T20:04:40.812+0200;-2557.43;-16660.11;600550000.00
2018-05-15T08:58:27.495+0200;-2557.97;-16663.62;600550000.00
2018-05-16T14:49:27.050+0200;-2548.37;-16601.09;600550000.00
2018-05-17T02:50:26.959+0200;-2541.90;-16558.93;600550000.00
2018-05-17T14:50:27.128+0200;-2548.19;-16599.92;600550000.00
2018-05-18T14:51:27.064+0200;-2546.41;-16588.34;600550000.00
2018-05-19T14:52:27.058+0200;-2551.10;-16618.89;600550000.00
2018-05-20T02:53:26.953+0200;-2548.84;-16604.18;600550000.00
2018-05-21T02:54:26.948+0200;-2549.31;-16607.25;600550000.00
2018-05-22T02:55:26.955+0200;-2543.30;-16568.10;600550000.00
2018-05-24T14:59:50.583+0200;-2553.12;-16632.05;600550000.00
2018-05-25T03:00:28.880+0200;-2548.68;-16603.13;600550000.00
2018-05-26T03:01:28.880+0200;-2549.41;-16607.87;600550000.00
2018-05-27T03:02:28.890+0200;-2549.06;-16605.59;600550000.00
2018-05-28T03:03:28.893+0200;-2549.38;-16607.65;600550000.00
2018-05-30T08:28:51.768+0200;-2532.33;-16496.61;600550000.00
2018-05-30T20:29:29.429+0200;-2549.98;-16611.57;600550000.00
2018-05-31T20:30:29.431+0200;-2549.95;-16611.37;600550000.00
2018-06-01T20:31:29.420+0200;-2549.15;-16606.17;600550000.00
2018-06-02T20:32:29.427+0200;-2549.72;-16609.89;600550000.00
2018-06-03T20:33:29.431+0200;-2550.28;-16613.55;600550000.00
2018-06-04T22:38:39.361+0200;-2551.66;-16622.50;600550000.00
2018-06-06T02:52:22.244+0200;-2550.86;-16617.31;600550000.00
2018-06-07T02:53:22.230+0200;-2550.18;-16612.87;600550000.00
2018-06-08T02:54:22.221+0200;-2547.87;-16597.83;600550000.00
2018-06-09T02:55:22.230+0200;-2549.26;-16606.88;600550000.00
2018-06-10T02:56:22.224+0200;-2549.62;-16609.25;600550000.00
2018-06-11T02:57:22.226+0200;-2549.16;-16606.22;600550000.00
2018-07-02T08:34:52.249+0200;-2542.59;-16563.43;600550000.00
2018-07-02T20:35:28.989+0200;-2552.23;-16626.24;600550000.00
2018-07-03T20:36:28.993+0200;-2547.84;-16597.62;600550000.00
2018-07-04T08:36:29.103+0200;-2551.53;-16621.72;600550000.00
2018-07-05T08:37:29.099+0200;-2552.19;-16625.97;600550000.00
2018-07-06T08:38:29.103+0200;-2551.04;-16618.48;600550000.00
2018-07-07T08:39:29.121+0200;-2549.57;-16608.91;600550000.00
2018-07-08T08:40:29.135+0200;-2549.49;-16608.40;600550000.00
2018-07-09T08:41:29.102+0200;-2549.37;-16607.61;600550000.00
2018-07-09T09:48:05.480+0200;-2545.14;-16580.06;600550000.00
2018-07-09T21:48:42.511+0200;-2557.74;-16662.16;600550000.00
2018-07-10T21:49:42.521+0200;-2557.71;-16661.94;600550000.00
2018-07-11T21:50:42.521+0200;-2557.58;-16661.07;600550000.00
2018-07-12T09:50:42.628+0200;-2560.14;-16677.80;600550000.00
2018-07-13T09:51:42.630+0200;-2560.93;-16682.92;600550000.00
2018-07-13T21:52:42.518+0200;-2556.68;-16655.25;600550000.00
2018-07-14T21:53:42.522+0200;-2558.24;-16665.43;600550000.00
2018-07-15T21:54:42.520+0200;-2558.34;-16666.06;600550000.00
2018-07-20T09:44:56.886+0200;-2554.95;-16643.94;600550000.00
2018-07-20T21:45:34.869+0200;-2557.48;-16660.45;600550000.00
2018-07-21T21:46:34.864+0200;-2560.25;-16678.50;600550000.00
2018-07-22T21:47:34.868+0200;-2560.50;-16680.10;600550000.00
2018-07-24T16:04:05.839+0200;-2559.63;-16674.48;600550000.00
2018-07-26T10:41:21.778+0200;-2559.63;-16674.48;600550000.00
2018-07-27T10:41:59.006+0200;-2559.63;-16674.48;600550000.00
2018-07-28T10:42:59.020+0200;-2559.63;-16674.48;600550000.00
2018-07-29T10:43:59.011+0200;-2559.63;-16674.48;600550000.00
2018-08-01T10:34:31.776+0200;-2558.04;-16664.12;600550000.00
2018-08-01T22:35:09.418+0200;-2555.69;-16648.79;600550000.00
2018-08-02T10:35:09.522+0200;-2506.95;-16331.28;600550000.00
2018-08-02T22:36:09.428+0200;-2556.74;-16655.65;600550000.00
2018-08-03T22:37:09.432+0200;-2557.70;-16661.88;600550000.00
2018-08-04T22:38:09.446+0200;-2557.70;-16661.86;600550000.00
2018-08-05T22:39:09.422+0200;-2557.70;-16661.86;600550000.00
2018-08-07T02:56:31.972+0200;-2557.92;-16663.32;600550000.00
2018-08-09T14:48:11.832+0200;-2560.83;-16682.25;600550000.00
2018-08-10T02:48:48.281+0200;-2557.83;-16662.70;600550000.00
2018-08-11T02:49:48.275+0200;-2557.77;-16662.35;600550000.00
2018-08-12T02:50:48.278+0200;-2556.90;-16656.69;600550000.00
2018-08-13T02:51:48.290+0200;-2557.99;-16663.75;600550000.00
2018-08-20T09:15:22.714+0200;-2549.59;-16609.06;600550000.00
2018-08-20T09:41:34.050+0200;-2552.99;-16631.22;600550000.00
2018-08-20T21:42:08.685+0200;-2556.53;-16654.27;600550000.00
2018-08-21T21:43:08.703+0200;-2555.88;-16650.03;600550000.00
2018-08-22T21:44:08.700+0200;-2557.08;-16657.86;600550000.00
2018-08-23T21:45:08.699+0200;-2557.88;-16663.07;600550000.00
2018-08-24T21:46:08.711+0200;-2556.48;-16653.95;600550000.00
2018-08-25T21:47:08.697+0200;-2556.77;-16655.83;600550000.00
2018-08-26T21:48:08.698+0200;-2557.20;-16658.63;600550000.00
2018-08-27T21:49:08.704+0200;-2557.19;-16658.55;600550000.00
2018-08-28T09:04:05.700+0200;-2561.65;-16687.63;600550000.00
2018-08-28T21:15:53.498+0200;-2523.26;-16437.52;600550000.00
2018-08-29T21:16:53.502+0200;-2556.03;-16650.99;600550000.00
2018-08-30T21:17:53.511+0200;-2555.84;-16649.78;600550000.00
2018-08-31T21:18:53.498+0200;-2555.38;-16646.74;600550000.00
2018-09-01T21:19:53.505+0200;-2555.62;-16648.33;600550000.00
2018-09-02T21:20:53.502+0200;-2556.44;-16653.69;600550000.00
2018-09-03T21:21:53.497+0200;-2558.25;-16665.46;600550000.00
2018-09-04T11:09:11.382+0200;-2556.02;-16650.92;600550000.00
2018-09-05T10:17:07.962+0200;-2562.00;-16689.87;600550000.00
2018-09-05T23:08:35.237+0200;-2559.10;-16671.03;600550000.00
2018-09-06T11:08:35.335+0200;-2521.27;-16424.55;600550000.00
2018-09-06T23:09:35.236+0200;-2556.75;-16655.72;600550000.00
2018-09-07T21:23:53.047+0200;-2560.59;-16680.70;600550000.00
2018-09-08T21:24:53.053+0200;-2559.25;-16671.95;600550000.00
2018-09-09T21:25:53.054+0200;-2562.60;-16693.83;600550000.00
2018-09-10T22:56:58.532+0200;-2560.12;-16677.65;600550000.00
2018-09-11T22:57:58.538+0200;-2561.66;-16687.69;600550000.00
2018-09-12T22:58:58.534+0200;-2563.73;-16701.14;600550000.00
2018-09-13T22:59:58.532+0200;-2564.90;-16708.75;600550000.00
2018-09-14T10:59:58.625+0200;-2560.95;-16683.03;600550000.00
2018-09-15T11:00:58.640+0200;-2559.32;-16672.42;600550000.00
2018-09-16T11:01:58.657+0200;-2560.74;-16681.71;600550000.00
2018-09-24T09:15:15.582+0200;-2558.15;-16664.83;600550000.00
2018-09-25T09:15:52.551+0200;-2552.62;-16628.77;600550000.00
2018-09-25T21:16:52.444+0200;-2559.69;-16674.85;600550000.00
2018-09-26T21:17:52.441+0200;-2560.24;-16678.40;600550000.00
2018-09-27T21:18:52.458+0200;-2738.42;-17839.13;600550000.00
2018-09-28T09:15:56.224+0200;-2547.67;-16596.54;600550000.00
2018-09-28T09:22:23.399+0200;-2544.23;-16574.12;600550000.00
2018-09-28T21:23:02.422+0200;-2565.26;-16711.15;600550000.00
2018-09-29T21:24:02.425+0200;-2564.18;-16704.12;600550000.00
2018-09-30T21:25:02.415+0200;-2564.18;-16704.12;600550000.00
2018-10-01T09:25:02.533+0200;-2561.58;-16687.16;600550000.00
2018-10-08T10:44:33.471+0200;-2523.53;-16439.27;600550000.00
2018-10-08T22:45:12.493+0200;-2566.53;-16719.42;600550000.00
2018-10-09T22:46:12.501+0200;-2566.37;-16718.35;600550000.00
2018-10-10T10:46:12.610+0200;-2531.22;-16489.39;600550000.00
2018-10-10T22:47:12.486+0200;-2480.59;-16159.56;600550000.00
2018-10-11T10:47:12.608+0200;-2429.91;-15829.41;600550000.00
2018-10-11T22:48:12.497+0200;-2566.98;-16722.35;600550000.00
2018-10-12T22:49:12.496+0200;-2562.66;-16694.18;600550000.00
2018-10-13T22:50:12.493+0200;-2562.66;-16694.18;600550000.00
2018-10-14T22:51:12.499+0200;-2562.66;-16694.18;600550000.00
2018-10-15T20:01:52.361+0200;-2565.31;-16711.46;600550000.00
2018-10-16T20:02:52.401+0200;-2564.28;-16704.71;600550000.00
2018-10-17T08:02:52.487+0200;-2562.18;-16691.07;600550000.00
2018-10-17T20:03:52.373+0200;-2565.28;-16711.28;600550000.00
2018-10-18T20:04:52.367+0200;-2564.51;-16706.23;600550000.00
2018-10-19T20:05:52.383+0200;-2528.76;-16473.35;600550000.00
2018-10-20T08:05:52.522+0200;-2712.13;-17667.93;600550000.00
2018-10-21T08:06:52.481+0200;-2711.72;-17665.25;600550000.00
2018-10-29T09:31:32.350+0100;-2562.54;-16693.42;600550000.00
2018-10-29T21:32:05.953+0100;-2572.13;-16755.89;600550000.00
2018-10-30T09:32:06.054+0100;-2565.73;-16714.21;600550000.00
2018-10-30T21:33:05.958+0100;-2569.52;-16738.90;600550000.00
2018-10-31T21:34:05.952+0100;-2567.58;-16726.27;600550000.00
2018-11-01T21:35:05.958+0100;-2569.57;-16739.22;600550000.00
2018-11-02T09:59:14.944+0100;-2565.40;-16712.04;600550000.00
2018-11-03T09:59:49.068+0100;-2567.35;-16724.76;600550000.00
